id	reads	len	cov
C2316152	202	1546	13.06
SRR5935909_C521403	621	4753	13.06
SRR5947017_C599398	793	6068	13.06
SRR5947082_C686097	600	4594	13.06
SRR5936130_C542095	703	5376	13.07
SRR5946832_C688378	167	1277	13.07
SRR5950732_C648877	415	3173	13.07
SRR5946989_C2427135	117	894	13.08
SRS016018_WUGC_scaffold_23709	488	3729	13.08
SRR5935841_C221429	355	2710	13.09
SRR5946704_C664796	249	1901	13.09
SRR5946817_C688379	581	4434	13.10
SRR5950499_C302695	1019	7773	13.10
SRR5935946_C653007	617	4705	13.11
SRR5936075_C362051	659	5026	13.11
SRR5950501_C435683	346	2639	13.11
SRR5950767_C954440	288	2196	13.11
SRR5946975_C644177	603	4594	13.12
C5167177	301	2292	13.13
SRR5946899_C704539	565	4301	13.13
SRR413572_C827407	1012	7696	13.14
SRR5936070_C328995	253	1925	13.14
SRR5962888_C338589	323	2458	13.14
SRR413734_scaffold27976	305	2319	13.15
SRR5946899_C702579	362	2751	13.15
SRR5946922_C292582	462	3513	13.15
SRR5950569_C336381	175	1330	13.15
SRR5935957_C632561	479	3638	13.16
SRR5947082_C680873	229	1740	13.16
SRR5950564_C327981	215	1633	13.16
SRR5935864_C327328	403	3059	13.17
SRR5946834_C459129	396	3005	13.17
SRR5950634_C373449	1013	7687	13.17
SRR5935964_C694918	437	3312	13.19
SRR413767_scaffold32139	1183	8956	13.20
SRS022524_Baylor_scaffold_68588	4925	37300	13.20
SRR413660_C724450	303	2292	13.21
SRR5935745_C451452	168	1271	13.21
SRR5935885_C618140	292	2210	13.21
SRR5946723_C432671	220	1665	13.21
SRR5936020_C740515	490	3705	13.22
SRR5936191_C701569	592	4475	13.22
SRR5946803_C452408	268	2026	13.22
SRR413650_scaffold42950	353	2668	13.23
SRR5950760_C404306	217	1640	13.23
C2138165	769	5807	13.24
SRR413652_C628432	250	1888	13.24
SRR5946928_C627699	164	1238	13.24
SRR5950713_C489502	314	2370	13.24
SRR413720_scaffold41303	191	1441	13.25
SRR5946638_C496718	170	1282	13.26
SRR341706_scaffold38093	207	1558	13.28
SRR5946608_C631086	305	2295	13.28
SRR5946911_C438584	349	2627	13.28
C15562867	173	1301	13.29
SRR5935784_C484795	197	1482	13.29
SRR5936147_C424156	829	6234	13.29
SRR5946678_C481157	475	3573	13.29
SRR5947096_C435620	239	1798	13.29
SRR5935963_C876180	175	1315	13.30
SRR5946930_C1004666	1292	9709	13.30
SRR5947051_C655705	304	2285	13.30
SRS050925_LANL_scaffold_73619	762	5729	13.30
SRR5935768_C768567	282	2118	13.31
SRR5950542_C241576	413	3102	13.31
SRR5946987_C460380	308	2311	13.32
SRR5950778_C440662	107	803	13.32
SRS023829_Baylor_scaffold_14623	205	1538	13.32
SRR341607_scaffold19721	253	1897	13.33
SRR5936183_C517070	622	4666	13.33
SRR5946637_C688120	1303	9769	13.33
SRR5946687_C497808	254	1905	13.33
SRR5946753_C327783	146	1094	13.34
SRR5950765_C217721	163	1221	13.34
SRR413704_scaffold4894	145	1086	13.35
SRR5936163_C453086	256	1917	13.35
SRR5946779_C414268	538	4026	13.36
SRR5950521_C444615	567	4244	13.36
SRR5950630_C941584	253	1893	13.36
C2870985	430	3212	13.38
SRR5936220_C632468	209	1561	13.38
SRR5950717_C557438	940	7022	13.38
SRR5946978_C450566	461	3442	13.39
SRR5946645_C418178	303	2260	13.40
SRR5950506_C365763	167	1246	13.40
C3138778	125	932	13.41
SRS016018_WUGC_scaffold_12973	1259	9383	13.41
SRR5936132_C891838	399	2972	13.42
SRR5946637_C687270	370	2756	13.42
SRR5950528_C695762	225	1676	13.42
SRR5947007_C530227	265	1972	13.43
SRR5950700_C793772	254	1889	13.44
SRR5935970_C898363	136	1011	13.45
SRR5950604_C398835	953	7083	13.45
SRR5936140_C664203	313	2325	13.46
SRR5936198_C286167	671	4984	13.46
SRR5950714_C274318	2287	16979	13.46
SRR413612_C1270675	1168	8669	13.47
SRR5950760_C404194	219	1624	13.48
SRR341658_C815708	338	2504	13.49
SRR5935949_C435841	618	4580	13.49
SRR5946631_C472253	134	993	13.49
SRS017521_Baylor_scaffold_49787	153	1134	13.49
SRR5946846_C687317	166	1229	13.50
SRR5950759_C535328	151	1118	13.50
C2336306	468	3463	13.51
C8464415	278	2057	13.51
SRR5946894_C280927	232	1717	13.51
SRR5950676_C293161	237	1752	13.52
SRS049995_LANL_scaffold_31997	516	3812	13.53
SRR5947026_C643921	504	3720	13.54
SRS017521_Baylor_scaffold_57136	735	5426	13.54
SRR5946868_C421532	850	6265	13.56
SRR5962884_C363362	951	7013	13.56
SRR5946763_C418168	290	2136	13.57
SRR5947034_C687617	741	5459	13.57
SRR5950729_C713467	208	1532	13.57
SRS064276_LANL_scaffold_13002	1357	9994	13.57
SRR5935760_C266625	489	3600	13.58
SRR5946669_C445764	310	2282	13.58
SRR5950620_C419008	239	1759	13.58
SRR5935870_C325820	206	1515	13.59
SRR5947051_C659517	585	4304	13.59
SRR5950492_C578811	244	1795	13.59
SRR5935842_C481411	524	3852	13.60
SRR5946805_C531080	293	2153	13.60
SRS050422_LANL_scaffold_88423	316	2323	13.60
SRR5935812_C394077	790	5802	13.61
SRR5935950_C534565	526	3861	13.62
SRR5936225_C279474	258	1894	13.62
SRR5947005_C401266	174	1277	13.62
SRR5950680_C531373	173	1270	13.62
SRR5950715_C298076	599	4396	13.62
SRR5950677_C427795	408	2993	13.63
SRR5935757_C625908	341	2497	13.65
SRR5947005_C405970	448	3281	13.65
SRR5947034_C688031	2139	15659	13.65
SRR5950599_C727932	270	1977	13.65
SRR5950618_C484878	522	3820	13.66
SRR413723_scaffold48665	148	1082	13.67
SRR413773_C812548	1226	8963	13.67
SRR5935948_C430245	135	987	13.67
SRR5950610_C196404	841	6149	13.67
SRR5947078_C904934	700	5116	13.68
SRR5950779_C394086	753	5502	13.68
SRR5935846_C284173	626	4570	13.69
SRR5946739_C466179	306	2235	13.69
SRR5962882_C372042	162	1183	13.69
SRR5946844_C258739	250	1824	13.70
SRS054956_LANL_scaffold_43679	1164	8494	13.70
SRR5950759_C533432	135	984	13.71
C3552271	324	2360	13.72
SRR413585_scaffold13706	128	932	13.73
SRR5946707_C591221	394	2868	13.73
SRR5950732_C649551	833	6067	13.73
SRR5935819_C362110	249	1811	13.74
SRR5950518_C455022	384	2794	13.74
SRR5950531_C721152	359	2612	13.74
SRR5946928_C636795	312	2268	13.75
SRS013687_Baylor_scaffold_56687	507	3685	13.75
SRS015782_WUGC_scaffold_40748	867	6301	13.75
SRR5936028_C543737	319	2318	13.76
SRR5950633_C412524	199	1446	13.76
SRR5950591_C414104	306	2222	13.77
SRR5947018_C849860	379	2749	13.78
SRR5947027_C519084	532	3858	13.78
SRR5946683_C614864	263	1906	13.79
SRR5946861_C663916	814	5899	13.79
SRR5950603_C622428	916	6633	13.80
SRR5936203_C386311	213	1542	13.81
SRR5947096_C430208	186	1346	13.81
SRR5935782_C246029	175	1265	13.83
SRR5935841_C226203	984	7112	13.83
SRR5936135_C615513	516	3727	13.84
SRR5936221_C565246	216	1558	13.86
SRR5946846_C698723	431	3108	13.86
C3484278	372	2681	13.87
SRR5936142_C496274	210	1514	13.87
SRR5950627_C272505	456	3287	13.87
SRR5936046_C420122	319	2298	13.88
SRS023914_Baylor_scaffold_26047	380	2737	13.88
ERR1730278_C11956908	216	1554	13.89
SRR5935804_C786169	229	1647	13.90
SRR5936029_C347150	235	1690	13.90
SRR5936036_C449101	3193	22966	13.90
SRR5935815_C426960	561	4031	13.91
SRR5936059_C305128	165	1186	13.91
SRR5946690_C480468	407	2925	13.91
SRR5950787_C222411	328	2353	13.93
SRS024075_LANL_scaffold_20410	638	4577	13.93
SRR5936233_C487626	144	1032	13.95
SRR5946722_C422008	518	3711	13.95
SRR5950552_C309276	210	1505	13.95
SRS014235_WUGC_scaffold_118455	536	3842	13.95
SRS058336_LANL_scaffold_52132	483	3462	13.95
SRR5946725_C341265	246	1761	13.96
SRR5946882_C427805	621	4448	13.96
C3323548	233	1667	13.97
C5167117	320	2289	13.97
SRR5950674_C425610	401	2870	13.97
SRR413760_C563010	521	3725	13.98
SRR5936148_C399212	1101	7871	13.98
C2835379	614	4387	13.99
SRR5950538_C458864	245	1751	13.99
SRR5950636_C216241	521	3722	13.99
SRR5935746_C361251	287	2049	14.00
SRR5962882_C382394	531	3790	14.01
C3653382	338	2410	14.02
SRR5936124_C285991	747	5325	14.02
SRR5950540_C333229	559	3985	14.02
C1490761	223	1589	14.03
SRR413698_C761570	570	4060	14.03
SRR5935815_C420050	154	1097	14.03
SRR5936074_C461874	206	1467	14.04
SRR5947073_C247897	1148	8176	14.04
SRS050422_LANL_scaffold_83120	395	2812	14.04
C2866574	376	2676	14.05
SRR5935884_C808575	170	1209	14.06
SRR5935944_C622940	581	4130	14.06
SRR5935963_C891406	829	5895	14.06
SRR413642_C476652	156	1108	14.07
SRR5935741_C472471	1032	7330	14.07
SRR5946834_C458853	393	2792	14.07
SRR5950703_C353622	268	1904	14.07
SRR5935811_C229983	182	1292	14.08
SRR5936236_C276954	1440	10221	14.08
SRR5936218_C190936	1994	14145	14.09
SRR5946706_C481001	360	2555	14.09
SRR5947072_C1003388	492	3490	14.09
SRR5950630_C920760	94	667	14.09
SRR5936054_C398492	490	3475	14.10
SRR5950510_C459510	193	1368	14.10
SRR5935994_C433546	652	4620	14.11
C2556556	2841	20114	14.12
SRR413650_C780852	308	2180	14.12
SRR5950527_C290451	512	3625	14.12
SRR5950684_C368804	881	6239	14.12
SRR5946684_C428062	224	1585	14.13
SRR5946814_C756287	215	1520	14.14
SRR5946992_C323315	300	2121	14.14
SRS014459_WUGC_scaffold_61637	723	5109	14.15
SRR5950663_C353179	285	2011	14.17
SRR5935841_C223713	541	3814	14.18
SRR5946649_C666858	482	3397	14.18
SRR5946669_C448138	423	2981	14.18
SRR5935985_C382114	1127	7941	14.19
SRR5936181_C512416	943	6640	14.20
C3307962	180	1266	14.21
SRR5946730_C604730	418	2941	14.21
SRR5946777_C780492	236	1660	14.21
SRR5947088_C250166	545	3832	14.22
C2794927	282	1981	14.23
SRR5946764_C247598	1058	7434	14.23
SRR5946981_C837645	693	4865	14.24
SRR5950700_C793898	278	1951	14.24
SRR5935889_C586517	232	1627	14.25
SRR5946847_C1039694	140	982	14.25
SRR5946929_C614933	208	1459	14.25
SRR413695_C663774	320	2243	14.26
SRR5946952_C533255	637	4466	14.26
SRR5947018_C850544	496	3478	14.26
SRR5935770_C511434	1183	8284	14.28
SRR5946831_C635338	483	3382	14.28
SRR5946986_C418851	305	2135	14.28
SRR5935871_C261266	177	1238	14.29
SRR5950605_C722560	357	2496	14.30
SRR5946778_C286140	397	2774	14.31
SRR5950708_C764914	495	3457	14.31
SRR5946852_C539545	878	6130	14.32
SRR413602_C653287	1331	9285	14.33
SRR5936058_C492902	900	6280	14.33
SRR5950520_C934378	420	2930	14.33
SRR5935924_C333207	517	3605	14.34
SRR5935926_C801111	229	1596	14.34
C2592563	693	4826	14.35
SRR5935971_C377364	864	6017	14.35
SRR5935810_C731605	226	1573	14.36
SRR5935869_C655191	1362	9482	14.36
SRR5936097_C821826	393	2736	14.36
SRR5946991_C377195	1258	8758	14.36
SRR5946993_C664113	565	3933	14.36
SRR5950603_C618720	396	2755	14.37
SRS050925_LANL_scaffold_73778	601	4180	14.37
SRR5946694_C425852	1378	9579	14.38
SRR5935963_C865428	136	945	14.39
SRS022524_Baylor_scaffold_74229	6292	43722	14.39
SRR5935778_C630843	201	1395	14.40
C4021595	526	3646	14.42
SRR5935782_C259165	556	3854	14.42
SRR5936156_C515294	153	1061	14.42
SRR5935974_C335173	124	859	14.43
SRR5950511_C627688	616	4265	14.44
SRR413617_C858574	233	1612	14.45
SRR5950628_C575213	380	2628	14.45
SRS054956_LANL_scaffold_45565	3329	23013	14.46
SRR5935874_C477392	1052	7266	14.47
SRR5946949_C358321	258	1782	14.47
SRR5950506_C362673	142	981	14.47
SRR5935910_C478078	441	3045	14.48
SRR5947082_C679579	224	1546	14.48
SRS049164_WUGC_scaffold_49336	709	4896	14.48
SRR5935986_C393378	1688	11648	14.49
SRR5936106_C590454	424	2926	14.49
SRS014235_WUGC_scaffold_25192	1233	8505	14.49
SRR5936191_C692253	210	1448	14.50
SRR5946707_C590117	327	2254	14.50
SRR413754_C291247	199	1370	14.52
SRR5935851_C301685	1135	7813	14.52
SRR5946910_C626067	1062	7311	14.52
SRR5946909_C269751	365	2512	14.53
SRR5936057_C244713	184	1265	14.54
SRR5935815_C427150	656	4507	14.55
SRR5950769_C509269	133	914	14.55
SRR413715_scaffold21836	698	4791	14.56
SRR5936212_C566361	461	3161	14.58
SRR5947030_C383484	276	1892	14.58
SRR5950764_C647737	258	1769	14.58
SRR413737_C735700	257	1761	14.59
C2728212	489	3349	14.60
C3763690	494	3381	14.61
SRR5946993_C667103	1125	7699	14.61
C2626114	562	3842	14.62
SRR5936199_C556212	975	6668	14.62
SRR413765_C768294	619	4230	14.63
SRR5950611_C808649	763	5212	14.63
SRR413715_scaffold26587	938	6403	14.64
SRR413754_scaffold16488	293	2001	14.64
SRR5950500_C436324	905	6178	14.64
SRR5936064_C390649	444	3030	14.65
SRR5936132_C890540	379	2587	14.65
SRR5962898_C390651	444	3030	14.65
SRR5935773_C380314	1300	8858	14.67
SRR5935951_C321701	1829	12461	14.67
SRR5947086_C556606	434	2958	14.67
SRS049164_WUGC_scaffold_62835	633	4312	14.67
SRS062427_LANL_scaffold_4686	326	2221	14.67
SRR5946622_C167731	328	2234	14.68
C4691683	114	776	14.69
SRR5936118_C522193	891	6063	14.69
SRR5935878_C534348	368	2503	14.70
SRR5947032_C493725	555	3774	14.70
SRS014235_WUGC_scaffold_49802	989	6726	14.70
SRS014459_WUGC_scaffold_86535	1864	12677	14.70
SRS015065_WUGC_scaffold_40077	482	3277	14.70
SRR5935799_C701055	358	2433	14.71
SRR5936179_C307408	653	4439	14.71
SRR5946660_C428041	701	4764	14.71
SRR5946870_C330426	1325	9004	14.71
SRR5950788_C394189	432	2933	14.72
SRR341658_C819862	490	3324	14.74
SRR5946684_C419586	129	875	14.74
SRR5946893_C611407	429	2909	14.74
SRR5946621_C500740	118	800	14.75
SRR5935884_C823533	1878	12723	14.76
SRR5947023_C289069	1037	7021	14.76
SRR413619_C791635	1116	7552	14.77
C3335618	279	1886	14.79
SRR5935929_C446806	474	3203	14.79
SRR5946784_C401481	1850	12507	14.79
SRR5946957_C339016	207	1399	14.79
C2647608	423	2858	14.80
SRR5936150_C191995	191	1289	14.81
SRR5950783_C451817	1271	8579	14.81
SRR5935953_C231690	219	1477	14.82
SRR5936017_C302212	707	4770	14.82
SRR5936182_C72652	2283	15399	14.82
SRR5946678_C481035	510	3439	14.82
SRR5950748_C455526	413	2785	14.82
SRR413594_C520348	620	4178	14.83
C4217746	225	1516	14.84
SRR5936112_C478261	1587	10691	14.84
SRR5935817_C430460	285	1918	14.85
SRR5946737_C283397	1728	11636	14.85
SRR413679_C1074173	595	3996	14.88
SRR5946860_C172323	547	3676	14.88
C3530817	216	1450	14.89
SRR5935900_C339317	707	4746	14.89
SRR5946649_C660426	228	1531	14.89
SRR5946971_C891403	270	1813	14.89
SRR5950656_C585679	136	913	14.89
SRR5935884_C823617	2477	16621	14.90
SRR5935921_C472571	396	2656	14.90
SRR5946704_C669104	1333	8946	14.90
SRR5946810_C338467	221	1483	14.90
SRR5946856_C562993	302	2026	14.90
SRR413757_C476200	589	3948	14.91
SRR5946846_C700341	683	4578	14.91
SRR5950593_C313617	473	3171	14.91
SRR5950789_C731344	988	6626	14.91
SRS022609_Baylor_scaffold_52052	344	2306	14.91
SRR5935884_C822643	816	5469	14.92
SRR5946834_C459135	449	3008	14.92
C3189776	214	1433	14.93
SRR5946993_C658049	336	2249	14.93
SRS013951_WUGC_scaffold_68042	901	6032	14.93
SRS056519_LANL_scaffold_13950	691	4627	14.93
SRR5950610_C196824	1903	12731	14.94
SRR5946663_C531697	482	3222	14.95
SRR5947023_C288309	760	5083	14.95
SRR5950534_C283969	278	1859	14.95
SRR5950778_C448564	208	1390	14.96
SRR5935850_C435078	1408	9405	14.97
SRR5935882_C476416	1280	8550	14.97
SRR5946706_C484595	879	5868	14.97
SRR5946832_C698192	562	3753	14.97
SRS057791_LANL_scaffold_13865	641	4280	14.97
SRR5950610_C196436	946	6311	14.98
SRR5950659_C583929	353	2356	14.98
C1203245	1440	9597	15.00
SRR5946824_C277803	279	1860	15.00
SRR5947078_C903890	534	3560	15.00
SRR5936057_C246447	249	1658	15.01
C2359674	288	1917	15.02
SRR5950557_C311705	1091	7257	15.03
SRR413771_scaffold43685	1995	13259	15.04
SRR5946828_C293059	906	6016	15.05
SRR5946987_C458622	247	1641	15.05
SRR5946951_C216757	584	3877	15.06
SRS064645_LANL_scaffold_1192	108	717	15.06
SRR5935852_C298206	547	3628	15.07
SRR5950674_C426616	538	3568	15.07
SRR5935969_C494369	222	1472	15.08
SRR5950486_C227958	722	4782	15.09
SRR5946626_C1036022	881	5832	15.10
SRR5935904_C337834	267	1767	15.11
SRS019787_WUGC_scaffold_26812	1818	12028	15.11
SRR5946924_C661694	853	5639	15.12
SRR5936225_C283754	1078	7117	15.14
SRR5950561_C789521	210	1387	15.14
SRR5946973_C353060	521	3438	15.15
SRR5950680_C549459	742	4896	15.15
SRR5935885_C624146	1379	9091	15.16
SRR5946930_C1003736	740	4880	15.16
C3059246	511	3368	15.17
SRR5935962_C430815	814	5364	15.17
SRR5935783_C185077	558	3674	15.18
SRR5950508_C289526	428	2819	15.18
SRR5950731_C572802	1611	10609	15.18
SRR5935768_C768897	331	2178	15.19
SRR5950764_C652451	677	4451	15.21
SRR413656_C1195425	387	2542	15.22
SRR5950625_C205328	468	3074	15.22
SRR5935859_C648480	1887	12370	15.25
SRR5936129_C148439	618	4050	15.25
SRS014287_WUGC_scaffold_37117	995	6523	15.25
SRR5947012_C266616	184	1205	15.26
SRS049318_LANL_scaffold_182554	291	1906	15.26
SRR341706_C863489	211	1381	15.27
SRR5936035_C482554	806	5275	15.27
SRR341704_C796365	507	3316	15.28
SRR5935885_C621988	596	3900	15.28
SRR5936195_C779268	2027	13258	15.28
SRR5946923_C1036590	717	4691	15.28
SRR5935883_C716469	386	2524	15.29
SRR5950709_C241238	1248	8150	15.31
SRR413759_C597054	213	1390	15.32
SRR5950763_C507066	310	2022	15.33
C3297082	382	2489	15.34
SRR5935781_C188975	264	1720	15.34
SRR5935879_C599184	374	2437	15.34
SRR5950784_C559282	748	4875	15.34
SRR5962899_C417343	170	1108	15.34
SRR413753_scaffold30673	169	1100	15.36
SRR5935931_C348631	1239	8062	15.36
SRR5946923_C1033572	379	2466	15.36
SRR5935869_C655373	2075	13487	15.38
SRR5936132_C894898	1143	7428	15.38
C1830124	1716	11126	15.42
SRR5935924_C335811	1141	7395	15.42
SRR5936054_C394806	346	2243	15.42
SRR5946671_C603575	431	2794	15.42
C3846662	177	1147	15.43
SRR413750_C492940	669	4335	15.43
SRR5946975_C637971	331	2145	15.43
SRR5935878_C534374	389	2518	15.44
SRR5936097_C824588	637	4125	15.44
SRR5946606_C428379	563	3644	15.45
SRR5950550_C706944	423	2737	15.45
SRR5950580_C422953	659	4263	15.45
SRR5950770_C462626	335	2168	15.45
SRR5946942_C580889	1653	10689	15.46
SRR5950609_C669848	772	4992	15.46
SRR5950793_C304742	269	1739	15.46
C4852037	142	917	15.48
SRR5950575_C493276	292	1886	15.48
C1580756	652	4209	15.49
C3871326	146	942	15.49
SRR5946842_C370301	1632	10534	15.49
SRR5946952_C532581	288	1859	15.49
SRR5946631_C482841	576	3709	15.52
SRR5936226_C336629	847	5447	15.54
SRR5950683_C295759	182	1171	15.54
SRR5935989_C681173	200	1286	15.55
SRR5936114_C483817	314	2019	15.55
C4255425	448	2877	15.57
SRR5935938_C760743	1393	8942	15.57
SRR5946813_C1694104	316	2029	15.57
C3531371	716	4594	15.58
SRR5935803_C775592	334	2140	15.60
SRR5936229_C442444	296	1896	15.61
SRR5950678_C535054	1271	8138	15.61
SRR5946820_C495799	491	3143	15.62
SRS022609_Baylor_scaffold_84071	1199	7675	15.62
SRR5946831_C636298	653	4177	15.63
SRR5946857_C625559	506	3237	15.63
SRR5950780_C558974	490	3133	15.63
SRR413701_C656757	326	2084	15.64
SRR5936028_C543947	387	2474	15.64
SRR5947039_C516608	299	1911	15.64
C2622107	508	3245	15.65
SRR5935944_C622536	579	3697	15.66
SRS014287_WUGC_scaffold_18024	508	3242	15.66
SRR5936036_C445793	643	4103	15.67
SRR5947051_C661361	1588	10132	15.67
SRR5950522_C733635	781	4982	15.67
SRS058770_LANL_scaffold_35718	554	3534	15.67
SRS014235_WUGC_scaffold_99120	6337	40368	15.69
SRR5947086_C555772	377	2400	15.70
SRR5950518_C456676	957	6091	15.71
SRR5950771_C326485	121	770	15.71
SRR5947037_C329004	341	2168	15.72
SRR5950543_C297579	579	3683	15.72
SRR5935771_C725768	581	3692	15.73
SRR5936214_C421765	1159	7365	15.73
SRR5935957_C630635	414	2630	15.74
SRR5946668_C427114	1538	9771	15.74
SRR5935843_C530068	591	3752	15.75
SRR5935985_C381964	1107	7028	15.75
SRR5936020_C742229	3073	19510	15.75
SRR5950532_C772548	709	4501	15.75
SRR5935790_C533257	178	1129	15.76
SRR5950773_C288949	192	1218	15.76
SRR5950583_C411377	800	5071	15.77
SRR5950780_C550622	197	1249	15.77
SRR5947091_C243503	1116	7071	15.78
SRS014235_WUGC_scaffold_28984	3187	20195	15.78
SRR5935797_C305021	661	4186	15.79
SRR5946811_C550085	449	2843	15.79
SRR5950501_C434415	314	1988	15.79
SRR5946919_C490143	397	2512	15.80
C3977524	585	3698	15.81
SRR5946780_C569228	1194	7535	15.84
SRR5950501_C436943	718	4532	15.84
SRR341617_scaffold19716	120	757	15.85
SRR413709_C779195	354	2233	15.85
SRR5936017_C302666	1433	9041	15.85
SRR5935900_C339089	714	4501	15.86
SRR5946969_C948624	822	5181	15.86
SRR341704_C797569	641	4034	15.88
SRR5936023_C637624	929	5847	15.88
SRR5936027_C782025	1631	10268	15.88
SRR5935979_C257186	2513	15810	15.89
SRR5935884_C821869	665	4179	15.91
SRR5946792_C386146	1255	7886	15.91
SRS022536_LANL_scaffold_90344	2824	17749	15.91
C2597314	500	3133	15.95
C4309101	318	1993	15.95
SRR5935972_C423616	2144	13441	15.95
SRR341721_scaffold521	1804	11298	15.96
SRR5936128_C297878	116	726	15.97
SRR5946885_C517832	878	5496	15.97
SRR5946688_C597821	466	2915	15.98
SRR5947048_C452916	567	3546	15.98
SRR5947096_C442970	619	3873	15.98
SRR5946898_C453040	363	2270	15.99
SRR413700_C769058	345	2155	16.00
SRR5946965_C392995	960	5997	16.00
SRR5946671_C600023	235	1467	16.01
SRR5950559_C818743	165	1030	16.01
SRR5935862_C485456	677	4225	16.02
SRR5936035_C479962	547	3413	16.02
SRR413660_C730104	2653	16543	16.03
SRR5946660_C421647	231	1441	16.03
SRR5946671_C603493	433	2701	16.03
SRR5946965_C391609	523	3261	16.03
SRR5947092_C420231	162	1010	16.03
SRR413747_C667912	929	5784	16.06
SRR5936140_C663675	341	2122	16.06
SRR5947069_C327275	581	3616	16.06
SRR5950783_C448539	308	1917	16.06
SRR5935929_C409050	73	454	16.07
SRR5962889_C423112	1219	7585	16.07
SRR413692_scaffold15366	833	5175	16.09
SRR5946649_C668076	3494	21695	16.10
SRR5950723_C617465	1979	12290	16.10
SRR5947001_C247348	500	3103	16.11
SRR5947095_C635107	879	5450	16.12
SRR5962899_C427171	531	3294	16.12
SRS022602_Baylor_scaffold_88229	511	3168	16.13
SRS050299_LANL_scaffold_32631	669	4137	16.17
SRR5946751_C473939	2365	14608	16.18
SRR5950648_C580068	1220	7540	16.18
SRR5950752_C603589	219	1352	16.19
C5547346	1930	11908	16.20
SRR5946617_C292587	701	4326	16.20
SRR413721_C496546	144	888	16.21
SRR5950789_C719382	281	1733	16.21
C2482308	413	2546	16.22
SRR413696_C894944	2071	12761	16.22
SRS014459_WUGC_scaffold_81182	1666	10268	16.22
C1591255	865	5328	16.23
SRR5936001_C576206	767	4724	16.23
SRR5946724_C439740	724	4459	16.23
C3533957	3617	22262	16.24
SRR5935806_C574238	946	5822	16.24
SRR5935848_C857696	1307	8044	16.24
SRR5935873_C405754	532	3274	16.24
SRR5947073_C247849	1206	7423	16.24
SRR5935775_C345902	403	2480	16.25
SRR5946953_C510984	1318	8108	16.25
SRR5950595_C348022	800	4919	16.26
SRS022609_Baylor_scaffold_35627	508	3122	16.27
SRR5935756_C577230	876	5379	16.28
SRR5946831_C638084	1403	8613	16.28
SRR5947081_C556385	176	1081	16.28
SRR5950628_C576335	608	3733	16.28
SRR341696_C847869	197	1208	16.30
SRR413613_C924093	782	4789	16.32
SRR5946831_C635800	602	3688	16.32
SRR5946665_C450851	387	2368	16.34
SRR5946915_C264633	201	1230	16.34
SRR5950723_C603613	209	1279	16.34
SRR413760_C569300	1979	12102	16.35
SRR413698_scaffold41949	534	3264	16.36
SRR5946638_C509568	1127	6885	16.36
SRR5962890_C403109	2025	12375	16.36
C3356860	553	3377	16.37
SRR413693_C1592195	611	3729	16.38
SRR413707_C679789	241	1470	16.39
SRS047044_WUGC_scaffold_28202	1851	11281	16.40
SRS023914_Baylor_scaffold_35241	870	5300	16.41
C3684658	475	2892	16.42
SRR341696_scaffold53058	1079	6571	16.42
SRR5936226_C336589	704	4287	16.42
SRS024388_LANL_scaffold_16659	1489	9064	16.42
SRR5946717_C512526	1016	6181	16.43
SRR5946760_C1033476	232	1411	16.44
SRR5935851_C298217	431	2619	16.45
SRR5936135_C611685	256	1555	16.46
SRR5936201_C637588	399	2423	16.46
SRR5946993_C661449	479	2910	16.46
SRR341656_scaffold43571	1360	8255	16.47
SRR5946753_C333665	2718	16500	16.47
SRR5962908_C425416	1347	8173	16.48
SRR5936170_C503440	218	1322	16.49
SRR413761_C1345070	3352	20292	16.51
SRR5946707_C592195	622	3762	16.53
SRR5950557_C303453	185	1119	16.53
SRS015578_WUGC_scaffold_45229	472	2854	16.53
SRR5935816_C362052	1390	8403	16.54
SRR5950752_C606401	265	1601	16.55
SRR5936051_C633315	457	2758	16.56
SRR413769_C560336	2976	17960	16.57
SRR5950592_C396846	475	2866	16.57
SRS019910_WUGC_scaffold_34350	237	1430	16.57
SRR5935869_C644281	294	1773	16.58
SRR5946695_C813029	2017	12159	16.58
SRR413702_C960735	300	1808	16.59
SRR5950487_C556874	2743	16530	16.59
SRR5936081_C425948	5549	33393	16.61
SRR5950680_C551889	1276	7678	16.61
SRR5936193_C700043	278	1672	16.62
SRS023835_Baylor_scaffold_1747	225	1353	16.62
SRR413757_C480494	1368	8226	16.63
SRR5946642_C707733	2310	13887	16.63
SRR5946905_C1155924	541	3253	16.63
SRR5950541_C536196	822	4941	16.63
C1198985	633	3804	16.64
SRR5935834_C607922	549	3298	16.64
SRR5946831_C638112	1461	8776	16.64
SRR5946833_C373817	1109	6661	16.64
SRR5947010_C369396	314	1887	16.64
SRR413578_C572114	766	4600	16.65
SRR5935796_C676663	1357	8146	16.65
SRR5936013_C756789	254	1525	16.65
SRR5947074_C353005	681	4089	16.65
SRR5950630_C934894	173	1039	16.65
SRR5950744_C399067	394	2365	16.65
SRS062427_LANL_scaffold_13273	769	4618	16.65
SRR341711_C896860	602	3611	16.67
SRR413659_C781572	342	2051	16.67
SRR5935942_C779444	542	3251	16.67
SRR5936039_C369489	445	2669	16.67
SRR5950665_C222044	3366	20182	16.67
SRR341689_C662118	545	3267	16.68
SRR5936122_C264994	869	5204	16.69
SRR5946699_C572712	266	1593	16.69
SRS047014_WUGC_scaffold_80783	954	5714	16.69
