Head_gene_symbol	Head_gene_breakpoint	Tail_gene_symbol	Tail_gene_breakpoint
cytochrome_b	15887	abParts	105994255
DLEU2L	64014803	DLEU2	50642299
DNM2	10944159	OK/SW-cl.16	7586
RP5-857K21.11	570189	HNRNPU	245022254
RP5-857K21.11	570108	ILF2	153635031
RP5-857K21.11	569880	PSMB4	151372928
RP5-857K21.11	570100	RPL11	24022302
RP5-857K21.11	569880	SFPQ	35653679
MTND2P28	565870	DHX9	182855244
MTND2P28	565870	HNRNPU	245020157
MTND2P28	565903	PRDX1	45980305
MTND2P28	565688	RPL11	24022292
MTND1P23	564609	PRDX1	45980307
RP5-857K21.7	568366	C1QA	22965993
RP5-857K21.7	568757	HNRNPU	245020157
RP5-857K21.7	568413	NASP	46065785
RP5-857K21.7	568381	SFPQ	35650193
MTATP8P1	568948	HNRNPU	245018266
MTATP8P1	568970	NASP	46072166
MTATP8P1	568942	NUCKS1	205686758
MTATP8P1	568946	NUDC	27269544
MTATP8P1	568955	PRPF38B	109241205
MTATP8P1	568956	SFPQ	35652724
MTATP6P1	569634	RPL11	24021155
OSBPL9P2	90848580	OSBPL9	52249718
FAM41C	804040	RPL23AP7	114379724
FLJ39739	147931979	BC065231	145004780
HLA-DPB1	33048711	HLA-DQB2	32723874
HLA-DPB1	33048711	HLA-DRB1	32546546
JA040723	14148	ACLY	40023178
JA040723	14148	HNRNPA3	178082432
JA040723	14148	HNRNPH3	70098896
JA040725	15887	ACTB	5566778
JA040725	15887	ACTR1A	104238985
JA040725	15887	ANP32A	69070874
JA040725	15887	C11orf51	71820632
JA040725	15887	CALR	13054526
JA040725	15887	CBR1	37444112
JA040725	15887	CSDE1	115259533
JA040725	15887	CUX2	111746088
JA040725	15887	CYB5A	71920526
JA040725	15887	DQ582201	235
JA040725	15887	ENO1	8921058
JA040725	15887	FAM72B	120839411
JA040725	15887	HSP90B1	104340395
JA040725	15887	LDHB	21788274
JA040725	15887	MRPS21	150280481
JA040725	15887	NDUFAB1	23592334
JA040725	15887	PAK2	196555189
JA040725	15887	PKNOX1	44444980
JA040725	15887	PSD4	113954771
JA040725	15887	PTMA	232576596
JA040725	15887	RLTPR	67689933
JA040725	15887	RPL6	112842993
JA040725	15887	RPS3	75115063
JA040725	15887	RPS6KA1	26880704
JA040725	15887	SNRPA1	101821714
JA040725	15887	TM9SF4	30746253
JA040725	15887	TMBIM6	50152165
JA040725	15887	TPT1	45911303
KIAA0802	8718422	C20orf117	35491061
LOC100132247	22525241	NPIP,LOC339047	18451950
LOC100132247	22525241	NPIP,PKD1P1	16429717
LOC100233209	47610225	ACACA	35441926
LOC100286793	143744586	BC065231	145004780
LOC100288615	32814752	SNTB2	69336972
LOC613037	30257121	NPIP,LOC339047	18451950
LOC613037	30257121	NPIP,PKD1P1	16429717
LOC644961	27652880	ACTG1	79477135
LOC728855	144340772	BC065231	145004780
MALAT1	65266891	CD68	7485318
MROH9	170936237	RP1-45C12.1	171137242
MTND5	14148	abParts	22712144
MTND5	14148	TVAS5	1755
NAIP	70282272	OCLN	68830520
NAP1L1	76443556	hsa-mir-6723	566934
NPIPL1	29415808	LOC100132247	22535140
NPIPL1	29415808	LOC613037	30234349
NPIPL1	28769403	NPIPL3	29497000
NPIP	15035796	LOC613037	30234349
NPIP	15035796	NPIPL3	29497000
NPIP	15044112	PDXDC2P	70011486
PDXDC2P	70076905	LOC100132247	22535140
PDXDC2P	70076905	LOC613037	30234349
PDXDC2P	70076905	NPIPL3	29497000
PLA2G10	14782128	RUNDC2C	29376380
PLCG2	81991613	7SK	81995611
PMS2P3	75145043	PRKRIP1	102038067
PPP1R21	48738602	STON1	48757019
PRDX1	45976818	TMEM167B	109637097
PTMA	232576651	RGL2	33266232
PTPN11	112944797	NPM1	170819946
RBM47	40425657	SAMHD1	35518822
RIMKLA	42883542	C5AR1	47824802
RPL14P1	63359533	E2F4	67229820
RPL23A	27051011	PAX4	127250597
RPL41	56510430	RBFOX2	36236239
RRM2	10269281	C2orf48	10281981
RRM2	10269281	C2orf48	10281982
RUNDC2C	29376379	PLA2G10	14766404
SARNP	56194408	ATP5J2-PTCD1	99040820
SCAND2	85182903	FBXL19	30959028
SERF1B	70197759	SMN2,SMN1	69359241
TIMM23	51606988	BMS1P4	75473090
TPT1	45914162	RPL13AP5,RPL13A	49994346
AD_1	10404	IPO7	9450086
ADSL	40762502	SGSM3	40796700
ADSL	40762503	SGSM3	40796701
AK000470	3820040	LOC389906	3735575
ALDH5A1	24537424	LPAR4	78003383
ANKRD36BP2	89104922	ANKRD36B	98122640
BSCL2	62474796	HNRNPUL2	62482972
C3orf32	8723756	OVOS2	31267684
CIRBP	1274439	C19orf24	1277184
CIRBP	1274439	C19ORF24	1277184
CLN6	68501975	CALML4	68492019
cytochrome_b	15887	abParts	23151791
E2F4	67229791	RPL14	40503548
ENOSF1,ENOSF1	673485	CTNNB1	41281509
FAM126B	201843219	ATP5I	666233
GBA	155214604	ZNF585B	37675346
GGA2	23477940	ZFAND5	74966671
GGPS1	235507460	SNRPD1	19209188
HLA-DPB1	33048711	HLA-DRB5	32485153
HLA-L	30229256	HLA-C	31237302
HMGA1	34213998	TMEM213	138490132
IGHM	106320511	TMSB4X	12994932
KIAA1267	44270165	ARL17A	44630121
KIAA1267	44270165	ARL17B	44412267
LOC100132247	22544947	PDXDC2P	70011417
LOC100506123	97950743	AK057596	96472812
LOC284232	19418668	GNB2L1	180663942
LOC440434	36351940	DHX40P1	58096306
LOC644961	27652880	ACTG1	79477135
LOC728190	89102314	SYT15	46955443
LOC728875	144521008	BC065231	145004780
MEX3A	156044221	RPS4X	71492463
MITD1	99786013	SULT1C2	108915025
NPIP	15044112	PDXDC2P	70011486
NUSAP1	41663725	ZNF445	44499736
OMA1	58971881	NCOR1	15933514
PFDN5	53693224	KHDRBS3	136659481
PKD1P1	16442589	PDXDC2P	70011486
PLA2G10	14782128	RUNDC2C	29376380
PM20D2	89874638	GNB2	100276787
PMS2P3	75145043	PRKRIP1	102038067
PRKCSH	11561461	GINS1	25427818
RPL27A	8707395	CCDC58	122078716
RPL41	56511298	CUX1	101926687
RPL41	56510425	RBFOX2	36236244
RPS15A	18796145	LMX1B	129460297
RPS24	79800450	HDAC9	19036914
RPS27	153963658	FAM159B	63986328
RRM2	10269281	C2orf48	10281981
RUNDC2C	29376379	PLA2G10	14766404
TAS2R20	11148924	PRR4,PRH1	11199619
TPRKB	73961556	ZNF273	64390271
TPT1	45911456	RPL37	40835158
X04930	142494028	TCRVB	142495140
ZNF18	11898875	TPRKB	73959412
ZNF828	115086707	LILRA5	54818522
ZNF91	23541232	TFDP2	141667380
ADSL	40762502	SGSM3	40796700
ADSL	40762503	SGSM3	40796701
AK000470	3820040	LOC389906	3735575
ANKRD36BP2	89104922	ANKRD36B	98122640
ARPC4	9845697	TTLL3	9852305
BSCL2	62474796	HNRNPUL2	62482972
CDC42	22400712	CLEC2D	9847356
CHCHD10	24108315	VPREB3	24095385
CHRFAM7A	30675585	ARHGAP11A	32921003
CLEC2D	9847356	PGPEP1	18476295
CLEC2D	9847356	TRIM61	165876128
CLN6	68501975	CALML4	68492019
DLEU2L	64014803	DLEU2	50642299
ERC1	1345987	EEF2	3976061
FAM129C	17660336	GLT25D1	17670121
GPR37L1	202098158	FAM120AOS	96212761
HAUS2	42851606	ZFP3	4997532
HLA-DPB1	33048711	HLA-DQB2	32723874
HLA-DRB1,HLA-DRB5	32557612	HLA-DPB1	33048448
HMGA1	34213998	TMEM213	138490132
HMGN2	26799071	EIF5A	7211007
IGHCgamma1	106214313	BC042052	128698587
ITCH	33095713	DYNLRB1	33114073
LOC100132247	21868926	NPIP,LOC339047	18451950
LOC100132247	21868926	NPIP,PKD1P1	16429717
LOC100132247	22544947	PDXDC2P	70011417
LOC100506123	97950743	AL832439,AK057596	96472812
LOC389641	23085666	CHMP7	23103769
LOC613037	30257121	NPIP,LOC339047	18451950
LOC613037	30257121	NPIP,PKD1P1	16429717
MIR1204	128808254	PVT1	128902835
NAIP	70282272	OCLN	68830520
NCOR1	15933514	KLHL2	166243184
NCRNA00287	125872032	STRBP	125884472
NPIP	15035796	LOC613037	30234349
NPIP	15035796	NPIPL3	29497000
NPIP	15044112	PDXDC2P	70011486
NUSAP1	41663725	ZNF445	44499736
OCLN	68830521	NAIP	70275696
OTUD7A	31947299	ST7OT4	116599207
PDXDC2P	70099850	LOC100132247	22535140
PDXDC2P	70099850	LOC613037	30234349
PDXDC2P	70099850	NPIPL3	29497000
PHF11	50100523	C15orf51	100330592
PKD1P1	16442589	PDXDC2P	70011486
PKD1	2147869	PKD1P1	16429909
PLA2G10	14782128	RUNDC2C	29376380
PLCG2	81991612	7SK	81995582
PMS2P3	75145043	PRKRIP1	102038067
POLA2	65063461	CDC42EP2	65088015
PRKCSH	11561461	GINS1	25427818
RABGGTA	24740516	DHRS1	24761404
RLTPR	67687015	SNRPB	2444504
RPL13	89629485	UBE2G2	46189300
RPL14	40503151	E2F4	67229684
RPL14	40503495	E2F4	67229826
RPL14P1	63359529	E2F4	67229823
RPL14	40503501	ZNF384	6777088
RPL22	6246803	SFPQ	35653691
RPL29P2	7658070	RPL29	52027861
RPL31P11	161654609	RPL31	101622857
RPL31	101622875	PABPC1	101715499
RPLP1	69747880	ATP1B2	7560695
RPS15A	18796145	LMX1B	129460297
RPS8	45243681	RPL41	56511292
RRM2	10269281	C2orf48	10281981
RRM2	10269281	C2orf48	10281982
RUNDC2C	29376379	PLA2G10	14766404
SARNP	56194408	ATP5J2-PTCD1	99040820
1-Sep	30390855	ZSWIM1	44513508
SIDT2	117066631	TAGLN	117073718
SIDT2	117066631	TAGLN	117073718
SPIB	50926231	EEF1D	144663480
SPIB	50926231	EEF1D	144663480
SYT15	46955628	LOC728190	89005872
TAS2R20	11148924	PRR4,PRH1	11199619
TCRBV1S1A1N1	142240021	TCRVB	142494521
TCRBV7S3A2	142045813	TCRVB	142494045
TIMM23	51606988	BMS1P4	75473090
TPRKB	73961556	PARP14	122448308
TPRKB	73961556	ZNF273	64390271
VAMP1	6574056	CD27-AS1	6557923
ZNF18	11898875	TPRKB	73959412
ZNF664	124488087	FAM120AOS	96209979
ZNF91	23541232	TFDP2	141667380
abParts	89999559	Ig_kappa	89156708
AD_1	10404	WSB1	25631805
ADSL	40762502	SGSM3	40796700
ADSL	40762503	SGSM3	40796701
AK000470	3820040	LOC389906	3735575
AK128652,abParts	107283084	BC042052	128698587
ANKRD36BP2	89104922	ANKRD36B	98122640
BC110832,LOC728855	149576699	BC065231	145004780
BRI3BP	125503695	ENSG00000245605	125511208
C15orf57	40857251	CBX3	26241323
C15orf57	40854180	CBX3	26241389
C16orf61	81010076	FANCD2	10143212
C3orf32	8723756	OVOS2	31267684
C3orf37	129020908	EZR	159186953
CCDC144B	18528929	PRPSAP2	18769114
CDKN2A	21993880	CDKN2B-AS1	22006245
CHRFAM7A	30675585	ARHGAP11A	32921003
CIRBP	1274439	C19orf24	1277184
CIRBP	1274439	C19ORF24	1277184
CLEC2D	9847356	PGPEP1	18476295
CLN6	68501975	CALML4	68492019
CLSPN	36205102	RPL41	56511292
CR1	207814712	CLEC2D	9845711
CTBS	85028940	GNG5	84967653
CTSD	1773993	KIF3B	30921428
CYFIP1	22980091	LOC284440	19867940
cytochrome_b	15887	HK1	71029755
DHRS1	24761402	RABGGTA	24740514
EEF1D	144679844	SPIB	50926896
EEF1D	144668393	SPIB	50926259
RP1-15D7.1	27620413	RPL8	146015845
AC090587.5	3875965	STIM1	3988781
FLJ39739	147931979	BC065231	145004780
GNG5	84967653	CTBS	85028940
GPR37L1	202098158	FAM120AOS	96212761
HDAC5	42163986	EEF1D	144662299
HERC2	28567294	HERC2P7	20723928
HLA-DPB1	33048711	HLA-DQB2	32723874
HLA-DQB2	32731329	HLA-DPB1	33048448
HLA-L	30227473	HLA-A	29910533
HMGN2	26800626	CMTM4	66650682
KLRK1	10541474	KLRC4	10560235
LAPTM5	31205317	ZFP1	75205923
LDHB	21788281	RPL21,RPL21P28	27830666
LDLRAP1	25894479	C22orf45	24825667
LOC100132247	22525241	NPIP,LOC339047	18451950
LOC100132247	22525241	NPIP,PKD1P1	16429717
LOC100286793	143744586	BC065231	145004780
LOC283693	83407266	EMR2	14845686
LOC399744	38734345	FLJ14186	120331387
LOC644961	27652880	ACTG1	79477135
MGC2752	59097722	RPL23AP82	51227177
MIR1204	128808254	PVT1	128902835
NAIP	70282272	OCLN	68830520
NCAPD2	6638758	NPSR1-AS1	34790594
NCOR1	15933514	KLHL2	166243184
NCRNA00287	125872032	STRBP	125884472
NPIP	15044112	PDXDC2P	70011486
NUSAP1	41663725	ZNF445	44499736
OTUD7A	31947299	ST7OT4	116599207
PARL	183580484	RP1-95L4.4	143663891
PDXDC2P	70099850	LOC100132247,LOC23117	21848005
PDXDC2P	70076905	LOC613037	30234349
PDXDC2P	70076905	NPIPL3	29497000
PHF11	50100523	C15orf51	100330592
PLA2G10	14782128	RUNDC2C	29376380
PMS2P3	75145043	PRKRIP1	102038067
PPP1R21	48738607	STON1	48757019
RAB38	87883122	CTSC	88033697
RAD51AP1	4652953	UBE2Q2	76192905
RLTPR	67687015	SNRPB	2444504
RNPC3	104076456	RPS6	19376265
RPL10A	35438107	FAM166B	35561993
RPL14	40503151	E2F4	67229684
RPL29	52027732	ZNF787	56599037
RPL31	101622880	PTMA	232577567
RPL41	56510430	RBFOX2	36236239
RPL5	93303101	FAU	64888505
RPS15A	18796145	LMX1B	129460297
RRM2	10269281	C2orf48	10281981
RRM2	10269281	C2orf48	10281982
RTCD1	100733056	MX1	42818068
RUNDC2C	29376379	PLA2G10	14766404
SPIB	50926237	EEF1D	144663474
SPIB	50926229	EEF1D	144663482
SPIB	50926229	EEF1D	144663482
SUZ12P	29061915	LPHN1	14316797
TCRB	142001247	TCRVB	142494808
TCRBV1S1A1N1	142240021	TCRVB	142494245
TCRBV6S3A1N1T	142139814	TCRVB	142494808
TCRBV7S1A1N2T	142013486	BV03S1J2.2,TCRVB	142494532
TCRBV7S3A2	142045813	TCRVB	142495140
TIMM23	51606988	BMS1P4	75473090
VHDJH	32077673	BC042052	128698587
X04930	142494028	TCRVB	142494808
ZNF18	11898875	TPRKB	73959412
ZNF738	21561522	CENPH	68505945
ZNF828	115086707	LILRA5	54818522
AD_1	10404	AKIRIN1	39469018
ADSL	40762502	SGSM3	40796700
ADSL	40762503	SGSM3	40796701
AK000470	3820040	LOC389906	3735575
ANKRD36BP2	89104922	ANKRD36B	98122640
BSCL2	62474796	HNRNPUL2	62482972
C11orf85	64727605	ZNF229	44931123
C15orf57	40857251	CBX3	26241323
C16orf61	81010076	FANCD2	10143212
CASP2	143003655	RPL30	99053962
CD81	2418619	TPTE2P1	25505464
CDC42	22400712	CLEC2D	9847356
CHD2	93485089	CEP78	80881619
CHRFAM7A	30675585	ARHGAP11A	32921003
CLEC2D	9847356	PGPEP1	18476295
CLNS1A	77327209	MEF2C	88016177
CPM	69248839	COX5B	98263530
CR1	207814712	CLEC2D	9845711
CTBS	85028940	GNG5	84967653
cytochrome_b	15887	GTF2IP1	72619422
cytochrome_b	15887	GTF2IP1,LOC100093631	74601105
cytochrome_b	15887	RPS2	2012061
E2F4	67229790	RPL14	40503551
ESD	47345403	TNRC6B	40719780
FAM126B	201843219	ATP5I	666233
FAM84A	14778333	HLA-B	31321658
FARSB	223507724	TRIM61	165890630
FLJ39739	147931979	BC065231	145004780
FRG1B	29612101	LOC100132352	68727457
GBP6	89851710	ARCN1	118473629
GBP6	89851712	BACH2	90636259
GGPS1	235507460	SNRPD1	19209188
GPR37L1	202098158	FAM120AOS	96212761
HLA-DPB1	33048711	HLA-DQB2	32723874
HLA-DPB1	33048711	HLA-DRB5	32485153
HLA-DQB1	32634465	HLA-DPB1	33048448
HLA-DRB1,HLA-DRB5	32498005	HLA-DPB1	33048448
HMGA1	34213998	TMEM213	138490132
HSD17B12	43877445	LOC100272146	45502552
IGLC2	23243589	CHD9	53360407
ILF3	10803074	CAP1	40537925
LDLRAP1	25894479	C22orf45	24825667
LEPROT	65898236	MFNG	37865122
LOC100132352	68743229	FRG1B	29628226
LOC100233209	47610225	ACACA	35441926
LOC100233209	47603241	MAPK1IP1L	55534269
LOC100286793	143744586	BC065231	145004780
LOC284232	19410813	AIMP1	107246142
LOC284232	19418668	PSME1	24608166
LOC644961	27652880	ACTG1	79477135
LOC728855	149576699	BC065231	145004780
MDM4	204524304	UTP6	30195065
MEX3A	156044221	RPS4X	71492463
MITD1	99786013	SULT1C2	108915025
MRPS28	80915415	TPD52	80954855
NCOR1	15933514	KLHL2	166243184
NDUFA3	54610118	PNMA2	26363247
NPIP	15044112	PDXDC2P	70011486
NPIP	15043950	PMPCA	139313055
NUSAP1	41663725	ZNF445	44499736
OSBPL8	76747104	MOBKL1A	71853877
OXTR	8792581	PCM1	17843596
PEX26	18572497	WDR55	140049641
PFDN5	53693224	KHDRBS3	136659481
PLA2G10	14782128	RUNDC2C	29376380
PLCG2	81991612	7SK	81995582
PMS2P3	75145043	PRKRIP1	102038067
PRIM1	57127931	NACA	57108471
PRKCSH	11561461	GINS1	25427818
PSMB2	36068749	MIDN	1259071
RPL27A	8707385	CASP2	143003655
RPL29P2	7658070	RPL29	52027861
RPL31	101622881	hsa-mir-6723	567243
RPL31P11	161654609	RPL31	101622857
RPL41	56511292	RPL7	74204578
RPLP0P2	61404803	RPLP0	120636657
RPLP1	69747880	CYP20A1	204163110
RPLP2	812871	HMGB1P5	22424338
RPS15A	18796145	LMX1B	129460297
RPS24	79800450	HDAC9	19036914
RPS6	19376232	MTATP6P1	569109
RRM2	10269281	C2orf48	10281981
RRM2	10269281	C2orf48	10281982
SF1	64532088	RUNDC3B	87459750
SLC25A34	16066915	ARIH2	48964895
SNHG3	28836145	RPL17	47014911
SNHG3	28835441	ZFP90	68598759
SPAG5	26904604	SHC3	91628080
TAS2R20	11148924	PRR4,PRH1	11199619
TCL6	96137824	TCL1B	96157073
TCRB	142001247	TCRVB	142495140
TCRBV17S1A1T	142327043	TCRVB	142495140
TCRBV1S1A1N1	142240021	TCRVB	142494808
TCRBV5S1A1T	142021361	TCRVB	142494808
TCRBV7S3A2	142045813	BV03S1J2.2,TCRVB	142494532
TCRVb7.1-Jb1.5	142013488	TCRVB	142495140
TFDP2	141664015	ZNF721	434500
THAP3	6692554	LOC100129138	104615994
TIMM23	51606988	BMS1P4	75473090
TPRKB	73961556	PARP14	122448308
TRA@	22111805	TRAC	22993296
UQCRQ	132203400	LEAP2	132209642
VAMP1	6574056	CD27-AS1	6557923
WHAMM	83502537	RRN3P1	21808338
X04930	142494028	TCRVB	142498724
ZNF18	11898875	TPRKB	73959412
ACY3	67410121	RPL41	56511299
AD_1	10404	DDX21	70719561
ADSL	40762502	SGSM3	40796700
ADSL	40762502	SGSM3	40796701
AK000470	3820040	LOC389906	3735575
ANKRD36BP2	89104922	ANKRD36B	98122640
ARIH2	48964895	HAVCR2	156513534
ARPC4	9845697	TTLL3	9852305
B2M	45010342	NFATC3	68260801
BPTF	65822453	AMZ2	66244781
BSCL2	62474796	HNRNPUL2	62482972
C15orf57	40854971	CBX3	26241389
C16orf61	81010076	FANCD2	10143212
C1QBP	5338286	PRR11	57280728
C9orf102	98691145	C9orf174	100116850
CDC42	22400712	CLEC2D	9847356
CELSR2	109792668	ZRANB1	126631024
CHRFAM7A	30675585	ARHGAP11A	32921003
CLEC2D	9847356	PGPEP1	18476295
CTBS	85028940	GNG5	84967653
RP5-857K21.7	568361	CSDE1	115263332
ERCC6L2	98691146	C9orf174	100116851
ERCC6L2	98691145	LOC100499484-C9ORF174	100116850
FAM175A	84384647	HELQ	84375098
FAM53B	126395456	METTL10	126448955
GAS5	173833206	RPL7A	136216432
GNG5	84967653	CTBS	85028940
GPR37L1	202098158	FAM120AOS	96212761
HAUS2	42851606	ZFP3	4997532
HLA-DPB1	33048711	HLA-DRB5	32485153
HLA-L	30227473	HLA-B	31323298
HLA-L	30229256	HLA-C	31237302
HSPE1	198365962	MOB4	198400254
IGF1	102792887	SLC25A6	1505465
JA040725	15887	DQ582201	235
JA040725	15887	HNRNPA1	54675578
JA040725	15887	HNRNPA3	178081403
JA040725	15887	PTMA	232576057
JA040725	15887	SNRPA1	101821714
KIAA0802	8718422	C20orf117	35491061
KIAA1267	44270165	ARL17A	44630121
KIAA1267	44270165	ARL17B,ARL17A	44412267
KLRK1	10541474	KLRC4	10560235
LDLRAP1	25894479	C22orf45	24825667
LOC100130581	41453649	GM2A	150648253
LOC100132247	22525241	NPIP,LOC339047	18451950
LOC100132247	22525241	NPIP,PKD1P1	16429717
LOC100132352	68743229	FRG1B	29628226
LOC100233209	47610225	ACACA	35441926
LOC284232	19438149	CALM2	47389801
LOC400960	70278335	GPANK1	31629449
LOC440434	36351940	DHX40P1	58096306
LOC728855	149576699	BC065231	145004780
MDM4	204524304	UTP6	30195065
MFSD4	205570895	C12orf45	105388427
MIR1204	128808254	PVT1	128902835
MITD1	99786013	SULT1C2	108915025
MROH9	170936237	RP1-45C12.1	171137242
MRPS28	80915415	TPD52	80954855
MYL9	35178058	ACVR2B	38534300
NCOR1	15933514	KLHL2	166243184
NOP2	6672909	RPL41	56511298
NPIP	15044112	PDXDC2P	70011486
NPM1	170819728	ANP32B	100773632
NUSAP1	41663725	ZNF445	44499736
OTUD7A	31947299	ST7OT4	116599207
PACSIN2	43267408	ARFGAP3	43243637
PHF11	50100523	C15orf51	100330592
PLA2G10	14782128	RUNDC2C	29376380
PMS2P3	75145043	PRKRIP1	102038067
PRIM1	57127931	NACA	57108471
PRR11	57282831	ATIC	216213817
PRR11	57275150	SMG8	57289702
PRR13	53837557	PCBP2	53848510
RAB3D	11434924	UHRF2	6421142
RIMKLA	42883542	C5AR1	47824802
RPL31P11	161654609	RPL31	101622857
RPL41	56510430	RBFOX2	36236239
RPL41	56511299	RPS2	2012784
RPS15A	18796145	LMX1B	129460297
RPS24	79800450	HDAC9	19036914
RRM2	10269281	C2orf48	10281981
RRM2	10269281	C2orf48	10281982
RUNDC2C	29376379	PLA2G10	14766404
1-Sep	30390855	ZSWIM1	44513508
SEPT7P2	45808616	CO9	55840871
SH2B2	101952188	EEF1D	144662802
SUZ12P	29061915	LPHN1	14316797
TAS2R20	11148924	PRR4,PRH1	11199619
TCP10L	33954725	C21orf59	33975471
TCRB	142001247	TCRVB	142495140
TCRBV1S1A1N1	142240021	TCRVB	142494045
TFDP2	141664015	ZNF721	434500
THEM4	151861849	OPA3	46051032
TIMM23	51606988	BMS1P4	75473090
TNFAIP8L2	151129198	SCNM1	151138947
TPD52	80954855	MRPS28	80941031
TPRKB	73961556	PARP14	122448308
TPT1	45911313	PABPC1	101715382
UBA52	18684103	PLEKHG1	151164125
UCHL3	76169126	LMO7	76195899
VAMP1	6574056	CD27-AS1	6557923
WDR66	122437622	LOC284232	19410813
WDR77	111983832	OVGP1	111969712
ZNF18	11898875	TPRKB	73959412
ZNF286A	15611561	ZNF286B	18566540
ZNF343	2489777	SNRPB	2446881
ZNF664	124488087	FAM120AOS	96209979
ZNF91	23541232	TFDP2	141667380
AD_1	10404	DVL3	183883913
AD_1	10404	FRG1B	29632610
ADSL	40762502	SGSM3	40796700
ANKRD36BP2	89104922	ANKRD36B	98122790
ARPC4	9845697	TTLL3	9852305
BC110832,LOC728855	149576699	BC065231	145004780
BSCL2	62474796	HNRNPUL2	62482972
C16orf13	686346	OK/SW-cl.16	7586
C3orf32	8723756	OVOS2	31267684
CHRFAM7A	30675585	ARHGAP11A	32921003
DNM2	10944159	OK/SW-cl.16	7586
EIF3A	120797946	RP5-857K21.11	570106
EIF3M	32623330	CCDC73	32623832
EIF4B	53421800	MTND2P28	565445
RPL3	39713627	PCBD2	134259137
RP5-857K21.11	569999	ENO1	8924152
RP5-857K21.11	569878	HAX1	154247880
RP5-857K21.11	570108	ILF2	153635031
RP5-857K21.11	570098	ZFAS1	47895655
MTND2P28	565903	CHTOP	153617545
MTND2P28	565036	ENSA	150595037
MTND2P28	565901	PITHD1	24113771
MTND2P28	565676	RPL11	24021161
MTND2P28	565024	SMG7	183521748
MTND2P28	565417	SZRD1	16722124
MTND2P28	565949	TARDBP	11082162
MTND1P23	564608	CCT3	156280464
MTND1P23	564609	PRDX1	45980307
MTND1P23	564609	RER1	2333662
RP5-857K21.7	568206	CSDE1	115263330
RP5-857K21.7	568756	DHX15	24578300
RP5-857K21.7	568375	ENSA	150595035
RP5-857K21.7	568218	IFI16	159024429
RP5-857K21.7	568363	PARP1	226576441
RP5-857K21.7	568256	RCC1	28864363
RP5-857K21.7	568745	RPL5	93299113
RP5-857K21.7	568377	TPM3	154155459
hsa-mir-6723	567033	ENSA	150600068
hsa-mir-6723	567136	NASP	46072157
hsa-mir-6723	567131	RCSD1	167666364
hsa-mir-6723	567130	RPL11	24021145
hsa-mir-6723	567035	RPL5	93297916
hsa-mir-6723	566884	TARDBP	11078790
MTATP8P1	568942	AHCYL1	110559321
MTATP8P1	568955	IVNS1ABP	185270910
MTATP8P1	568955	PBXIP1	154925889
MTATP8P1	568942	RPL11	24022298
MTATP8P1	568955	UFC1	161126746
MTATP6P1	569624	NASP	46072163
MTATP6P1	569635	PBXIP1	154925535
MTATP6P1	569625	STMN1	26227572
FLJ39739	147931979	BC065231	145004780
HLA-L	30229256	HLA-C	31237302
HNRNPD	83276457	HNRPDL	83346820
JA040723	14148	abParts,AK128525	89156873
JA040723	14148	ACLY	40023178
JA040723	14148	ASMTL-AS1	1520354
JA040723	14148	CCT3	156278751
JA040723	14148	HNRNPA3	178082432
JA040723	14148	HNRNPH1	179041178
JA040723	14148	HNRNPH3	70098896
JA040723	14148	NASP	46080976
JA040723	14148	PABPN1	23791389
JA040723	14148	RBM17	6157415
JA040723	14148	RPL14	40499380
JA040723	14148	RPL36A-HNRNPH2	100650322
JA040723	14148	RPS6	19378358
JA040723	14148	TPM3	154127779
JA040725	15887	ACIN1	23527773
JA040725	15887	ACTB	5566778
JA040725	15887	ACTR1A	104238985
JA040725	15887	ADAM19	156904311
JA040725	15887	ADCY7	50328550
JA040725	15887	AEBP1	44149613
JA040725	15887	ANP32A	69070874
JA040725	15887	ANP32B	100773552
JA040725	15887	ANP32E	150190716
JA040725	15887	C11orf51	71820632
JA040725	15887	CALR	13054526
JA040725	15887	CBR1	37444112
JA040725	15887	CD1C	158260923
JA040725	15887	CSDE1	115259533
JA040725	15887	CUX2	111746088
JA040725	15887	DKC1	154005073
JA040725	15887	DKFZp686B07190	111530886
JA040725	15887	DQ582201	235
JA040725	15887	EIF3CL,EIF3C	28726627
JA040725	15887	EIF4B	53433021
JA040725	15887	ENO1	8921058
JA040725	15887	FAM72B	120839411
JA040725	15887	GDF11	56143285
JA040725	15887	HIP1R	123335381
JA040725	15887	HMGA1	34208513
JA040725	15887	HNRNPA2B1	26229555
JA040725	15887	HNRNPA3	178081587
JA040725	15887	HNRNPH1	179041178
JA040725	15887	HNRNPH3	70101341
JA040725	15887	HSP90AB1	44218027
JA040725	15887	HSP90B1	104340395
JA040725	15887	HSPD1	198351307
JA040725	15887	Ig_kappa	89156708
JA040725	15887	IPO5	98654937
JA040725	15887	LDHB	21788274
JA040725	15887	LRRC59	48458593
JA040725	15887	MRPS21	150280481
JA040725	15887	NAP1L1	76438671
JA040725	15887	NUPL1	25887751
JA040725	15887	PAK2	196555189
JA040725	15887	PCBP2	53849130
JA040725	15887	PFN1	4848946
JA040725	15887	POLE	133200347
JA040725	15887	PRDX1	45976706
JA040725	15887	PRRC2C	171501481
JA040725	15887	PSD4	113954771
JA040725	15887	PTMA	232577513
JA040725	15887	RBFOX2	36134782
JA040725	15887	RDH10	74235147
JA040725	15887	RLTPR	67690130
